Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,3,Persian Gulf,geonames:235616,,27,51
1,3,Persia,geonames:130758,IR,32,53
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Goa,geonames:1712808,PH,13.6978,123.4892
1,3,Europe,geonames:6255148,,48.69096,9.14062
1,3,Persian Gulf,geonames:235616,,27,51
1,3,Kung,geonames:141666,IR,26.59775,54.93694
1,3,Persia,geonames:130758,IR,32,53
1,3,East India,geonames:1269750,IN,22,79
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Arabian Coast,geonames:3379762,GY,7.16667,-58.5
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Goa,geonames:1712808,PH,13.6978,123.4892
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,Spain,geonames:2510769,ES,40,-4
1,3,Persia,geonames:130758,IR,32,53
1,3,Goa,geonames:1712808,PH,13.6978,123.4892
1,3,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,3,Spain,geonames:2510769,ES,40,-4
1,3,Braganza,geonames:2742026,PT,41.83615,-6.76346
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
